postcode,locality,state,long,lat
2050,CAMPERDOWN,NSW,151.17598,-33.89037
2050,MISSENDEN ROAD,NSW,151.17598,-33.89037
2052,UNSW SYDNEY,NSW,151.234417,-33.906561
2055,NORTH SYDNEY,NSW,151.104935,-33.802837
2057,CHATSWOOD,NSW,151.1899,-33.791988
2058,NORTHERN SUBURBS MC,NSW,146.921,-31.2532
2059,NORTH SYDNEY,NSW,151.104935,-33.802837
2060,HMAS PLATYPUS,NSW,151.204557,-33.839863
2060,HMAS WATERHEN,NSW,151.204557,-33.839863
2060,LAVENDER BAY,NSW,151.204557,-33.839863
2060,MCMAHONS POINT,NSW,151.204557,-33.839863
2060,NORTH SYDNEY,NSW,151.204557,-33.839863
2060,NORTH SYDNEY SHOPPINGWORLD,NSW,151.204557,-33.839863
2060,WAVERTON,NSW,151.204557,-33.839863
2061,KIRRIBILLI,NSW,151.212372,-33.848785
2061,MILSONS POINT,NSW,151.212372,-33.848785
2062,CAMMERAY,NSW,151.21246,-33.822837
2063,NORTHBRIDGE,NSW,151.214797,-33.812636
2064,ARTARMON,NSW,151.183801,-33.813209
2065,CROWS NEST,NSW,151.192212,-33.828361
2065,CROWS NEST DC,NSW,0,0
2065,GORE HILL,NSW,151.192212,-33.828361
2065,GREENWICH,NSW,151.192212,-33.828361
2065,NAREMBURN,NSW,151.192212,-33.828361
2065,ROYAL NORTH SHORE HOSPITAL,NSW,151.192212,-33.828361
2065,ST LEONARDS,NSW,151.192212,-33.828361
2065,WOLLSTONECRAFT,NSW,151.192212,-33.828361
2066,LANE COVE,NSW,151.160912,-33.818641
2066,LANE COVE NORTH,NSW,151.160912,-33.818641
2066,LANE COVE WEST,NSW,151.160912,-33.818641
2066,LINLEY POINT,NSW,151.160912,-33.818641
2066,LONGUEVILLE,NSW,151.160912,-33.818641
2066,NORTHWOOD,NSW,151.160912,-33.818641
2066,OSBORNE PARK,NSW,151.160912,-33.818641
2066,RIVERVIEW,NSW,151.160912,-33.818641
2067,CHATSWOOD,NSW,151.17711,-33.798378
2067,CHATSWOOD WEST,NSW,151.17711,-33.798378
2068,CASTLECRAG,NSW,151.202715,-33.800881
2068,MIDDLE COVE,NSW,151.202715,-33.800881
2068,NORTH WILLOUGHBY,NSW,151.1973964,-33.79634382
2068,WILLOUGHBY,NSW,151.202715,-33.800881
