date,suburb,medianSoldPrice,numberSold,highestSoldPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice,ymd,ymd_dt,qtr,date
2011-07-01,Randwick,1422000,40,5450000,81,8000000.0,775000.0,32.0,20.0,950.0,2011-8-1,2011-08-01,2011Q3,2011-07-01
2011-10-01,Randwick,1417000,49,3660000,97,6000000.0,700000.0,47.0,23.0,880.0,2011-11-1,2011-11-01,2011Q4,2011-10-01
2012-01-01,Randwick,1520000,24,6200000,62,5850000.0,570000.0,10.0,5.0,975.0,2012-2-1,2012-02-01,2012Q1,2012-01-01
2012-04-01,Randwick,1555000,44,3325000,77,3590000.0,570000.0,30.0,17.0,850.0,2012-5-1,2012-05-01,2012Q2,2012-04-01
2012-07-01,Randwick,1385000,27,3050000,57,4250000.0,650000.0,19.0,11.0,825.0,2012-8-1,2012-08-01,2012Q3,2012-07-01
2012-10-01,Randwick,1384000,69,3250000,96,4250000.0,790000.0,50.0,33.0,863.0,2012-11-1,2012-11-01,2012Q4,2012-10-01
2013-01-01,Randwick,1525000,34,7100000,56,5000000.0,550000.0,15.0,9.0,950.0,2013-2-1,2013-02-01,2013Q1,2013-01-01
2013-04-01,Randwick,1515000,62,3570000,79,4000000.0,590000.0,39.0,26.0,850.0,2013-5-1,2013-05-01,2013Q2,2013-04-01
2013-07-01,Randwick,1575000,35,15000000,61,4000000.0,356000.0,19.0,14.0,915.0,2013-8-1,2013-08-01,2013Q3,2013-07-01
2013-10-01,Randwick,1570000,60,2915000,81,3500000.0,356000.0,45.0,37.0,995.0,2013-11-1,2013-11-01,2013Q4,2013-10-01
2014-01-01,Randwick,1590000,39,12500000,61,3500000.0,720000.0,18.0,14.0,1100.0,2014-2-1,2014-02-01,2014Q1,2014-01-01
2014-04-01,Randwick,1584000,75,4292000,91,4239000.0,500000.0,61.0,44.0,1075.0,2014-5-1,2014-05-01,2014Q2,2014-04-01
2014-07-01,Randwick,1738000,49,7900000,60,3750000.0,680000.0,35.0,27.0,1075.0,2014-8-1,2014-08-01,2014Q3,2014-07-01
2014-10-01,Randwick,1715000,55,4200000,77,4140000.0,680000.0,48.0,37.0,980.0,2014-11-1,2014-11-01,2014Q4,2014-10-01
2015-01-01,Randwick,1820000,24,3700000,41,3700000.0,680000.0,22.0,18.0,1025.0,2015-2-1,2015-02-01,2015Q1,2015-01-01
2015-04-01,Randwick,2240000,50,4800000,50,3250000.0,1375000.0,44.0,34.0,1050.0,2015-5-1,2015-05-01,2015Q2,2015-04-01
2015-07-01,Randwick,1950000,41,5150000,34,4000000.0,1300000.0,27.0,24.0,1100.0,2015-8-1,2015-08-01,2015Q3,2015-07-01
2015-10-01,Randwick,2038000,45,6110000,55,6000000.0,1200000.0,38.0,27.0,1000.0,2015-11-1,2015-11-01,2015Q4,2015-10-01
2016-01-01,Randwick,2420000,29,3928000,38,6000000.0,1250000.0,22.0,18.0,1000.0,2016-2-1,2016-02-01,2016Q1,2016-01-01
2016-04-01,Randwick,2105000,38,4930000,50,3250000.0,609000.0,30.0,26.0,1160.0,2016-5-1,2016-05-01,2016Q2,2016-04-01
2016-07-01,Randwick,2240000,38,4900000,42,2993000.0,65000.0,27.0,26.0,990.0,2016-8-1,2016-08-01,2016Q3,2016-07-01
2016-10-01,Randwick,2300000,50,4825000,55,4600000.0,925000.0,44.0,39.0,1050.0,2016-11-1,2016-11-01,2016Q4,2016-10-01
2017-01-01,Randwick,2270000,24,4375000,29,2600000.0,1450000.0,18.0,16.0,1193.0,2017-2-1,2017-02-01,2017Q1,2017-01-01
2017-04-01,Randwick,2473000,43,4460000,48,4250000.0,1550000.0,39.0,32.0,1100.0,2017-5-1,2017-05-01,2017Q2,2017-04-01
2017-07-01,Randwick,2570000,44,6400000,42,5000000.0,1650000.0,32.0,29.0,1100.0,2017-8-1,2017-08-01,2017Q3,2017-07-01
2017-10-01,Randwick,2560000,58,6205000,68,5000000.0,1300000.0,57.0,39.0,1150.0,2017-11-1,2017-11-01,2017Q4,2017-10-01
2018-01-01,Randwick,2260000,42,4075000,40,5000000.0,1500000.0,19.0,16.0,1000.0,2018-2-1,2018-02-01,2018Q1,2018-01-01
2018-04-01,Randwick,2453000,69,6200000,63,12000000.0,1500000.0,50.0,39.0,1200.0,2018-5-1,2018-05-01,2018Q2,2018-04-01
2018-07-01,Randwick,2350000,36,6000000,27,10000000.0,1120000.0,19.0,9.0,1000.0,2018-8-1,2018-08-01,2018Q3,2018-07-01
2018-10-01,Randwick,2255000,41,4100000,53,10000000.0,2000.0,40.0,26.0,1083.0,2018-11-1,2018-11-01,2018Q4,2018-10-01
2019-01-01,Randwick,2325000,14,4120000,29,10000000.0,1470000.0,15.0,6.0,1200.0,2019-2-1,2019-02-01,2019Q1,2019-01-01
2019-04-01,Randwick,2265000,28,4550000,40,9000000.0,1250000.0,26.0,11.0,1195.0,2019-5-1,2019-05-01,2019Q2,2019-04-01
2019-07-01,Randwick,2153000,33,5400000,38,9000000.0,1425000.0,19.0,13.0,1100.0,2019-8-1,2019-08-01,2019Q3,2019-07-01
2019-10-01,Randwick,2598000,47,8120000,62,9000000.0,1425000.0,41.0,36.0,1100.0,2019-11-1,2019-11-01,2019Q4,2019-10-01
2020-01-01,Randwick,2801000,26,4975000,31,9000000.0,1425000.0,13.0,11.0,1150.0,2020-2-1,2020-02-01,2020Q1,2020-01-01
2020-04-01,Randwick,2463000,37,5610000,61,9000000.0,800000.0,30.0,16.0,1100.0,2020-5-1,2020-05-01,2020Q2,2020-04-01
2020-07-01,Randwick,2525000,37,6775000,52,9000000.0,2000000.0,27.0,21.0,1050.0,2020-8-1,2020-08-01,2020Q3,2020-07-01
2020-10-01,Randwick,2550000,52,7000000,63,9000000.0,1470000.0,43.0,34.0,950.0,2020-11-1,2020-11-01,2020Q4,2020-10-01
2021-01-01,Randwick,2818000,40,7300000,36,6000000.0,1500000.0,25.0,21.0,1000.0,2021-2-1,2021-02-01,2021Q1,2021-01-01
2021-04-01,Randwick,3145000,55,8500000,58,6000000.0,2000000.0,47.0,41.0,1035.0,2021-5-1,2021-05-01,2021Q2,2021-04-01
2011-07-01,Paddington,1500000,54,2950000,92,3500000.0,540000.0,46.0,24.0,995.0,2011-8-1,2011-08-01,2011Q3,2011-07-01
2011-10-01,Paddington,1350000,72,6350000,127,11000000.0,498000.0,75.0,36.0,990.0,2011-11-1,2011-11-01,2011Q4,2011-10-01
2012-01-01,Paddington,1300000,36,2500000,93,11000000.0,795000.0,26.0,11.0,1000.0,2012-2-1,2012-02-01,2012Q1,2012-01-01
2012-04-01,Paddington,1450000,67,5500000,111,50000000.0,795000.0,69.0,41.0,1000.0,2012-5-1,2012-05-01,2012Q2,2012-04-01
2012-07-01,Paddington,1225000,67,3300000,110,11000000.0,690000.0,51.0,30.0,950.0,2012-8-1,2012-08-01,2012Q3,2012-07-01
2012-10-01,Paddington,1461000,65,5100000,106,11000000.0,525000.0,52.0,33.0,950.0,2012-11-1,2012-11-01,2012Q4,2012-10-01
2013-01-01,Paddington,1400000,44,3425000,71,8800000.0,765000.0,26.0,17.0,975.0,2013-2-1,2013-02-01,2013Q1,2013-01-01
2013-04-01,Paddington,1468000,75,3650000,111,8800000.0,700000.0,62.0,38.0,1000.0,2013-5-1,2013-05-01,2013Q2,2013-04-01
2013-07-01,Paddington,1550000,79,3450000,98,3950000.0,125000.0,59.0,45.0,995.0,2013-8-1,2013-08-01,2013Q3,2013-07-01
2013-10-01,Paddington,1630000,105,3700000,127,7232000.0,850000.0,97.0,67.0,960.0,2013-11-1,2013-11-01,2013Q4,2013-10-01
2014-01-01,Paddington,1800000,44,5600000,71,7232000.0,675000.0,26.0,24.0,995.0,2014-2-1,2014-02-01,2014Q1,2014-01-01
2014-04-01,Paddington,1413000,104,5500000,132,5250000.0,838000.0,106.0,74.0,1050.0,2014-5-1,2014-05-01,2014Q2,2014-04-01
2014-07-01,Paddington,1835000,58,4200000,87,5250000.0,998000.0,48.0,32.0,978.0,2014-8-1,2014-08-01,2014Q3,2014-07-01
2014-10-01,Paddington,1610000,109,4800000,140,6000000.0,100000.0,108.0,70.0,1050.0,2014-11-1,2014-11-01,2014Q4,2014-10-01
2015-01-01,Paddington,1680000,47,6000000,70,6000000.0,100000.0,37.0,22.0,1100.0,2015-2-1,2015-02-01,2015Q1,2015-01-01
2015-04-01,Paddington,1700000,102,6500000,95,6000000.0,890000.0,72.0,66.0,1125.0,2015-5-1,2015-05-01,2015Q2,2015-04-01
2015-07-01,Paddington,1770000,70,7500000,62,4250000.0,900000.0,51.0,42.0,1050.0,2015-8-1,2015-08-01,2015Q3,2015-07-01
2015-10-01,Paddington,1879000,76,11850000,79,10000000.0,800000.0,68.0,48.0,1100.0,2015-11-1,2015-11-01,2015Q4,2015-10-01
2016-01-01,Paddington,1900000,46,10000000,48,4000000.0,1200000.0,32.0,29.0,1150.0,2016-2-1,2016-02-01,2016Q1,2016-01-01
2016-04-01,Paddington,1966000,63,11850000,63,12000000.0,950000.0,48.0,35.0,1200.0,2016-5-1,2016-05-01,2016Q2,2016-04-01
2016-07-01,Paddington,2233000,50,7500000,69,9750000.0,710000.0,37.0,29.0,1000.0,2016-8-1,2016-08-01,2016Q3,2016-07-01
2016-10-01,Paddington,2425000,69,5500000,71,9450000.0,2000.0,49.0,40.0,1100.0,2016-11-1,2016-11-01,2016Q4,2016-10-01
2017-01-01,Paddington,2363000,58,5400000,54,8500000.0,1000000.0,39.0,26.0,1215.0,2017-2-1,2017-02-01,2017Q1,2017-01-01
2017-04-01,Paddington,2493000,80,8325000,73,8500000.0,1350000.0,55.0,43.0,1150.0,2017-5-1,2017-05-01,2017Q2,2017-04-01
2017-07-01,Paddington,2218000,46,4050000,57,8250000.0,950000.0,46.0,27.0,1200.0,2017-8-1,2017-08-01,2017Q3,2017-07-01
2017-10-01,Paddington,2235000,54,5300000,56,8250000.0,1200000.0,39.0,29.0,1250.0,2017-11-1,2017-11-01,2017Q4,2017-10-01
2018-01-01,Paddington,2550000,41,5150000,54,8250000.0,1200000.0,27.0,22.0,1200.0,2018-2-1,2018-02-01,2018Q1,2018-01-01
2018-04-01,Paddington,2620000,72,7400000,80,8250000.0,1100000.0,62.0,41.0,1195.0,2018-5-1,2018-05-01,2018Q2,2018-04-01
2018-07-01,Paddington,2325000,58,8200000,57,6500000.0,1100000.0,46.0,28.0,1173.0,2018-8-1,2018-08-01,2018Q3,2018-07-01
2018-10-01,Paddington,2345000,57,7650000,78,15000000.0,1260000.0,66.0,41.0,1170.0,2018-11-1,2018-11-01,2018Q4,2018-10-01
2019-01-01,Paddington,2080000,41,4925000,54,15000000.0,1260000.0,39.0,22.0,1180.0,2019-2-1,2019-02-01,2019Q1,2019-01-01
2019-04-01,Paddington,2238000,60,7500000,65,8250000.0,1100000.0,49.0,29.0,1150.0,2019-5-1,2019-05-01,2019Q2,2019-04-01
2019-07-01,Paddington,2050000,42,5050000,46,7700000.0,1100000.0,31.0,22.0,1100.0,2019-8-1,2019-08-01,2019Q3,2019-07-01
2019-10-01,Paddington,2425000,77,10500000,71,7700000.0,800000.0,52.0,47.0,1100.0,2019-11-1,2019-11-01,2019Q4,2019-10-01
2020-01-01,Paddington,2600000,39,7150000,46,7700000.0,1260000.0,26.0,20.0,1200.0,2020-2-1,2020-02-01,2020Q1,2020-01-01
2020-04-01,Paddington,2550000,61,6300000,98,7700000.0,1000000.0,40.0,25.0,1050.0,2020-5-1,2020-05-01,2020Q2,2020-04-01
2020-07-01,Paddington,2290000,54,6720000,75,4500000.0,1395000.0,31.0,21.0,1000.0,2020-8-1,2020-08-01,2020Q3,2020-07-01
2020-10-01,Paddington,2550000,82,6800000,81,6500000.0,1350000.0,60.0,47.0,1050.0,2020-11-1,2020-11-01,2020Q4,2020-10-01
2021-01-01,Paddington,2850000,59,6500000,54,5000000.0,1425000.0,31.0,24.0,1100.0,2021-2-1,2021-02-01,2021Q1,2021-01-01
2021-04-01,Paddington,3213000,72,9000000,71,8000000.0,1400000.0,60.0,49.0,1100.0,2021-5-1,2021-05-01,2021Q2,2021-04-01
2011-07-01,Lane Cove,965000,24,1935000,43,2730000.0,560000.0,12.0,7.0,750.0,2011-8-1,2011-08-01,2011Q3,2011-07-01
2011-10-01,Lane Cove,1029000,34,1980000,52,2730000.0,590000.0,21.0,9.0,700.0,2011-11-1,2011-11-01,2011Q4,2011-10-01
2012-01-01,Lane Cove,1085000,19,2200000,32,2150000.0,600000.0,10.0,9.0,650.0,2012-2-1,2012-02-01,2012Q1,2012-01-01
2012-04-01,Lane Cove,974000,34,1650000,41,2000000.0,570000.0,22.0,16.0,895.0,2012-5-1,2012-05-01,2012Q2,2012-04-01
2012-07-01,Lane Cove,956000,16,1585000,32,2600000.0,450000.0,10.0,6.0,820.0,2012-8-1,2012-08-01,2012Q3,2012-07-01
2012-10-01,Lane Cove,1100000,27,2500000,42,3750000.0,550000.0,21.0,17.0,750.0,2012-11-1,2012-11-01,2012Q4,2012-10-01
2013-01-01,Lane Cove,1088000,16,4450000,23,4000000.0,500000.0,9.0,4.0,755.0,2013-2-1,2013-02-01,2013Q1,2013-01-01
2013-04-01,Lane Cove,1200000,31,2780000,37,2750000.0,500000.0,22.0,17.0,810.0,2013-5-1,2013-05-01,2013Q2,2013-04-01
2013-07-01,Lane Cove,1184000,30,2653000,35,11000000.0,575000.0,20.0,17.0,730.0,2013-8-1,2013-08-01,2013Q3,2013-07-01
2013-10-01,Lane Cove,1314000,46,2930000,49,2249000.0,500000.0,40.0,36.0,808.0,2013-11-1,2013-11-01,2013Q4,2013-10-01
2014-01-01,Lane Cove,1126000,19,1945000,22,1790000.0,545000.0,10.0,10.0,735.0,2014-2-1,2014-02-01,2014Q1,2014-01-01
2014-04-01,Lane Cove,1548000,36,2420000,39,2200000.0,405000.0,30.0,28.0,825.0,2014-5-1,2014-05-01,2014Q2,2014-04-01
2014-07-01,Lane Cove,1495000,15,2010000,19,2000000.0,638000.0,11.0,10.0,800.0,2014-8-1,2014-08-01,2014Q3,2014-07-01
2014-10-01,Lane Cove,1498000,38,2875000,44,2500000.0,898000.0,32.0,29.0,773.0,2014-11-1,2014-11-01,2014Q4,2014-10-01
2015-01-01,Lane Cove,1395000,19,2820000,23,2993000.0,661000.0,15.0,12.0,890.0,2015-2-1,2015-02-01,2015Q1,2015-01-01
2015-04-01,Lane Cove,1745000,28,3624000,30,2000000.0,555000.0,14.0,12.0,815.0,2015-5-1,2015-05-01,2015Q2,2015-04-01
2015-07-01,Lane Cove,1865000,29,3300000,26,2750000.0,900000.0,20.0,19.0,830.0,2015-8-1,2015-08-01,2015Q3,2015-07-01
2015-10-01,Lane Cove,1615000,42,2975000,47,2700000.0,610000.0,38.0,27.0,850.0,2015-11-1,2015-11-01,2015Q4,2015-10-01
2016-01-01,Lane Cove,1655000,22,6700000,28,3200000.0,800000.0,16.0,12.0,925.0,2016-2-1,2016-02-01,2016Q1,2016-01-01
2016-04-01,Lane Cove,1673000,38,3850000,40,3300000.0,910000.0,31.0,25.0,810.0,2016-5-1,2016-05-01,2016Q2,2016-04-01
2016-07-01,Lane Cove,1763000,23,2955000,23,2650000.0,720000.0,16.0,15.0,900.0,2016-8-1,2016-08-01,2016Q3,2016-07-01
2016-10-01,Lane Cove,2000000,36,4250000,42,5500000.0,550000.0,29.0,26.0,875.0,2016-11-1,2016-11-01,2016Q4,2016-10-01
2017-01-01,Lane Cove,2300000,15,2850000,20,5500000.0,1000.0,10.0,8.0,920.0,2017-2-1,2017-02-01,2017Q1,2017-01-01
2017-04-01,Lane Cove,2158000,27,4300000,31,5500000.0,1000.0,19.0,17.0,965.0,2017-5-1,2017-05-01,2017Q2,2017-04-01
2017-07-01,Lane Cove,2306000,20,3701000,27,3300000.0,845000.0,21.0,14.0,920.0,2017-8-1,2017-08-01,2017Q3,2017-07-01
2017-10-01,Lane Cove,1820000,29,3300000,40,3150000.0,900000.0,32.0,15.0,940.0,2017-11-1,2017-11-01,2017Q4,2017-10-01
2018-01-01,Lane Cove,1825000,15,3100000,25,3500000.0,1300000.0,11.0,8.0,850.0,2018-2-1,2018-02-01,2018Q1,2018-01-01
2018-04-01,Lane Cove,1825000,25,3500000,24,3500000.0,839000.0,18.0,15.0,840.0,2018-5-1,2018-05-01,2018Q2,2018-04-01
2018-07-01,Lane Cove,2150000,19,2510000,24,2800000.0,650000.0,18.0,11.0,950.0,2018-8-1,2018-08-01,2018Q3,2018-07-01
2018-10-01,Lane Cove,1520000,22,4180000,33,5500000.0,1195000.0,19.0,10.0,850.0,2018-11-1,2018-11-01,2018Q4,2018-10-01
2019-01-01,Lane Cove,1948000,20,3400000,31,8088000.0,1150000.0,14.0,8.0,850.0,2019-2-1,2019-02-01,2019Q1,2019-01-01
2019-04-01,Lane Cove,2050000,30,4000000,32,8088000.0,1195000.0,20.0,12.0,850.0,2019-5-1,2019-05-01,2019Q2,2019-04-01
2019-07-01,Lane Cove,1900000,21,3225000,25,5250000.0,1195000.0,17.0,17.0,788.0,2019-8-1,2019-08-01,2019Q3,2019-07-01
2019-10-01,Lane Cove,2225000,28,3175000,36,5600000.0,760000.0,27.0,22.0,810.0,2019-11-1,2019-11-01,2019Q4,2019-10-01
2020-01-01,Lane Cove,1800000,22,3825000,29,5600000.0,1070000.0,16.0,13.0,850.0,2020-2-1,2020-02-01,2020Q1,2020-01-01
2020-04-01,Lane Cove,2069000,22,4025000,37,5775000.0,950000.0,18.0,10.0,825.0,2020-5-1,2020-05-01,2020Q2,2020-04-01
2020-07-01,Lane Cove,2053000,18,3340000,30,4738000.0,850000.0,13.0,9.0,900.0,2020-8-1,2020-08-01,2020Q3,2020-07-01
2020-10-01,Lane Cove,2297000,34,3727000,37,4500000.0,850000.0,31.0,24.0,900.0,2020-11-1,2020-11-01,2020Q4,2020-10-01
2021-01-01,Lane Cove,2525000,21,5800000,22,4600000.0,900000.0,13.0,11.0,990.0,2021-2-1,2021-02-01,2021Q1,2021-01-01
2021-04-01,Lane Cove,2570000,26,4250000,22,2900000.0,1050000.0,18.0,18.0,800.0,2021-5-1,2021-05-01,2021Q2,2021-04-01
2011-07-01,Mosman,2330000,77,10000000,197,25000000.0,825000.0,42.0,18.0,1490.0,2011-8-1,2011-08-01,2011Q3,2011-07-01
2011-10-01,Mosman,1948000,104,19000000,230,25000000.0,700000.0,83.0,37.0,1700.0,2011-11-1,2011-11-01,2011Q4,2011-10-01
2012-01-01,Mosman,2360000,53,20000000,180,18500000.0,700000.0,24.0,13.0,1650.0,2012-2-1,2012-02-01,2012Q1,2012-01-01
2012-04-01,Mosman,2000000,109,18000000,222,18500000.0,1000.0,78.0,37.0,1600.0,2012-5-1,2012-05-01,2012Q2,2012-04-01
2012-07-01,Mosman,1950000,83,14050000,184,15000000.0,775000.0,42.0,26.0,1750.0,2012-8-1,2012-08-01,2012Q3,2012-07-01
2012-10-01,Mosman,1975000,111,12800000,238,15000000.0,700000.0,66.0,32.0,1700.0,2012-11-1,2012-11-01,2012Q4,2012-10-01
2013-01-01,Mosman,1775000,55,8300000,189,26500000.0,550000.0,21.0,8.0,1750.0,2013-2-1,2013-02-01,2013Q1,2013-01-01
2013-04-01,Mosman,2300000,107,11250000,205,38000000.0,550000.0,62.0,35.0,1538.0,2013-5-1,2013-05-01,2013Q2,2013-04-01
2013-07-01,Mosman,2206000,101,8600000,185,26500000.0,320000.0,55.0,39.0,1600.0,2013-8-1,2013-08-01,2013Q3,2013-07-01
2013-10-01,Mosman,2313000,143,13880000,255,15750000.0,430000.0,71.0,48.0,1650.0,2013-11-1,2013-11-01,2013Q4,2013-10-01
2014-01-01,Mosman,2505000,71,11060000,154,15750000.0,1000000.0,34.0,26.0,1650.0,2014-2-1,2014-02-01,2014Q1,2014-01-01
2014-04-01,Mosman,2500000,110,15600000,188,25000000.0,300000.0,67.0,51.0,1650.0,2014-5-1,2014-05-01,2014Q2,2014-04-01
2014-07-01,Mosman,2800000,84,11000000,152,32500000.0,210000.0,45.0,33.0,1500.0,2014-8-1,2014-08-01,2014Q3,2014-07-01
2014-10-01,Mosman,2688000,117,16300000,244,25000000.0,900000.0,97.0,63.0,1725.0,2014-11-1,2014-11-01,2014Q4,2014-10-01
2015-01-01,Mosman,2585000,108,11000000,179,32500000.0,530000.0,61.0,46.0,1750.0,2015-2-1,2015-02-01,2015Q1,2015-01-01
2015-04-01,Mosman,3125000,123,16000000,168,32500000.0,460000.0,76.0,65.0,1600.0,2015-5-1,2015-05-01,2015Q2,2015-04-01
2015-07-01,Mosman,2900000,89,10000000,137,25000000.0,840000.0,56.0,44.0,1650.0,2015-8-1,2015-08-01,2015Q3,2015-07-01
2015-10-01,Mosman,3050000,129,16000000,165,32500000.0,650000.0,98.0,62.0,1825.0,2015-11-1,2015-11-01,2015Q4,2015-10-01
2016-01-01,Mosman,3268000,52,11525000,92,32500000.0,1200000.0,31.0,18.0,1875.0,2016-2-1,2016-02-01,2016Q1,2016-01-01
2016-04-01,Mosman,3075000,99,12800000,141,15500000.0,10000.0,67.0,51.0,1860.0,2016-5-1,2016-05-01,2016Q2,2016-04-01
2016-07-01,Mosman,3355000,84,12250000,105,32500000.0,1496000.0,45.0,35.0,1698.0,2016-8-1,2016-08-01,2016Q3,2016-07-01
2016-10-01,Mosman,3600000,116,17350000,148,32500000.0,840000.0,93.0,72.0,1750.0,2016-11-1,2016-11-01,2016Q4,2016-10-01
2017-01-01,Mosman,3675000,58,10300000,86,32500000.0,840000.0,36.0,24.0,1800.0,2017-2-1,2017-02-01,2017Q1,2017-01-01
2017-04-01,Mosman,3683000,99,12000000,135,31500000.0,1025000.0,72.0,54.0,1695.0,2017-5-1,2017-05-01,2017Q2,2017-04-01
2017-07-01,Mosman,3115000,74,12400000,101,31500000.0,850000.0,56.0,39.0,1650.0,2017-8-1,2017-08-01,2017Q3,2017-07-01
2017-10-01,Mosman,4100000,97,15800000,132,31500000.0,850000.0,69.0,39.0,1598.0,2017-11-1,2017-11-01,2017Q4,2017-10-01
2018-01-01,Mosman,3300000,47,23734000,92,22444000.0,725000.0,29.0,14.0,1798.0,2018-2-1,2018-02-01,2018Q1,2018-01-01
2018-04-01,Mosman,3750000,84,18000000,119,18000000.0,725000.0,52.0,41.0,1775.0,2018-5-1,2018-05-01,2018Q2,2018-04-01
2018-07-01,Mosman,4368000,58,20000000,90,25000000.0,610000.0,33.0,16.0,1600.0,2018-8-1,2018-08-01,2018Q3,2018-07-01
2018-10-01,Mosman,3900000,83,18500000,124,22500000.0,610000.0,58.0,37.0,1650.0,2018-11-1,2018-11-01,2018Q4,2018-10-01
2019-01-01,Mosman,2700000,33,10500000,79,22500000.0,610000.0,23.0,17.0,1650.0,2019-2-1,2019-02-01,2019Q1,2019-01-01
2019-04-01,Mosman,3425000,73,11100000,105,23000000.0,595000.0,39.0,25.0,1700.0,2019-5-1,2019-05-01,2019Q2,2019-04-01
2019-07-01,Mosman,3488000,52,12900000,98,31500000.0,550000.0,31.0,20.0,1650.0,2019-8-1,2019-08-01,2019Q3,2019-07-01
2019-10-01,Mosman,3500000,116,20000000,170,23000000.0,530000.0,77.0,62.0,1725.0,2019-11-1,2019-11-01,2019Q4,2019-10-01
2020-01-01,Mosman,3370000,44,22000000,104,31500000.0,530000.0,26.0,20.0,1725.0,2020-2-1,2020-02-01,2020Q1,2020-01-01
2020-04-01,Mosman,4080000,56,14600000,145,31500000.0,220000.0,45.0,23.0,1583.0,2020-5-1,2020-05-01,2020Q2,2020-04-01
2020-07-01,Mosman,4300000,73,20000000,105,31500000.0,860000.0,37.0,25.0,1625.0,2020-8-1,2020-08-01,2020Q3,2020-07-01
2020-10-01,Mosman,4255000,90,17800000,119,30000000.0,795000.0,64.0,39.0,1600.0,2020-11-1,2020-11-01,2020Q4,2020-10-01
2021-01-01,Mosman,4650000,58,21750000,71,30000000.0,795000.0,29.0,25.0,1588.0,2021-2-1,2021-02-01,2021Q1,2021-01-01
2021-04-01,Mosman,4700000,116,21550000,127,30000000.0,770000.0,88.0,72.0,1873.0,2021-5-1,2021-05-01,2021Q2,2021-04-01
2011-07-01,Pymble,1235000,44,2950000,96,11800000.0,680000.0,20.0,8.0,843.0,2011-8-1,2011-08-01,2011Q3,2011-07-01
2011-10-01,Pymble,1290000,37,2800000,134,7000000.0,600000.0,34.0,11.0,950.0,2011-11-1,2011-11-01,2011Q4,2011-10-01
2012-01-01,Pymble,1110000,32,2975000,83,7500000.0,60000.0,14.0,4.0,950.0,2012-2-1,2012-02-01,2012Q1,2012-01-01
2012-04-01,Pymble,1175000,47,3950000,108,7800000.0,620000.0,30.0,15.0,998.0,2012-5-1,2012-05-01,2012Q2,2012-04-01
2012-07-01,Pymble,1260000,37,2290000,92,8000000.0,620000.0,25.0,11.0,1075.0,2012-8-1,2012-08-01,2012Q3,2012-07-01
2012-10-01,Pymble,1220000,55,7218000,118,8000000.0,620000.0,34.0,14.0,1050.0,2012-11-1,2012-11-01,2012Q4,2012-10-01
2013-01-01,Pymble,1255000,30,2775000,85,7500000.0,580000.0,18.0,9.0,1000.0,2013-2-1,2013-02-01,2013Q1,2013-01-01
2013-04-01,Pymble,1350000,57,3160000,94,4300000.0,580000.0,39.0,20.0,997.0,2013-5-1,2013-05-01,2013Q2,2013-04-01
2013-07-01,Pymble,1505000,59,3300000,87,4300000.0,800000.0,35.0,25.0,880.0,2013-8-1,2013-08-01,2013Q3,2013-07-01
2013-10-01,Pymble,1543000,71,3325000,109,4300000.0,136000.0,55.0,41.0,915.0,2013-11-1,2013-11-01,2013Q4,2013-10-01
2014-01-01,Pymble,1568000,34,3380000,65,7613000.0,136000.0,19.0,18.0,1000.0,2014-2-1,2014-02-01,2014Q1,2014-01-01
2014-04-01,Pymble,1647000,81,12250000,96,7613000.0,750000.0,64.0,45.0,1150.0,2014-5-1,2014-05-01,2014Q2,2014-04-01
2014-07-01,Pymble,1610000,51,6000000,67,7613000.0,850000.0,31.0,25.0,1023.0,2014-8-1,2014-08-01,2014Q3,2014-07-01
2014-10-01,Pymble,1788000,59,4650000,96,7613000.0,750000.0,65.0,45.0,1000.0,2014-11-1,2014-11-01,2014Q4,2014-10-01
2015-01-01,Pymble,1856000,55,3820000,66,7613000.0,750000.0,26.0,16.0,990.0,2015-2-1,2015-02-01,2015Q1,2015-01-01
2015-04-01,Pymble,1970000,71,4173000,89,11500000.0,600000.0,56.0,51.0,995.0,2015-5-1,2015-05-01,2015Q2,2015-04-01
2015-07-01,Pymble,2200000,53,4700000,66,11500000.0,900000.0,46.0,39.0,1125.0,2015-8-1,2015-08-01,2015Q3,2015-07-01
2015-10-01,Pymble,2086000,48,7050000,88,11500000.0,900000.0,53.0,31.0,940.0,2015-11-1,2015-11-01,2015Q4,2015-10-01
2016-01-01,Pymble,2200000,29,3500000,58,11500000.0,1450000.0,19.0,10.0,940.0,2016-2-1,2016-02-01,2016Q1,2016-01-01
2016-04-01,Pymble,2125000,35,3980000,56,11500000.0,950000.0,24.0,14.0,970.0,2016-5-1,2016-05-01,2016Q2,2016-04-01
2016-07-01,Pymble,2215000,37,6800000,58,11500000.0,1260000.0,25.0,18.0,1100.0,2016-8-1,2016-08-01,2016Q3,2016-07-01
2016-10-01,Pymble,2525000,60,7150000,64,11500000.0,1300000.0,44.0,37.0,1150.0,2016-11-1,2016-11-01,2016Q4,2016-10-01
2017-01-01,Pymble,2255000,33,4850000,44,11500000.0,1000000.0,26.0,19.0,1165.0,2017-2-1,2017-02-01,2017Q1,2017-01-01
2017-04-01,Pymble,2588000,48,4050000,61,11500000.0,1600000.0,39.0,31.0,960.0,2017-5-1,2017-05-01,2017Q2,2017-04-01
