year,month,suburb,medianSoldPrice,numberSold,highestSoldPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice
2011.0,9.0,East Ballina,464000.0,25.0,850000.0,83.0,2000000.0,310000.0,6.0,3.0,405.0
2011.0,12.0,East Ballina,480000.0,30.0,849000.0,95.0,2000000.0,149000.0,12.0,4.0,400.0
2012.0,3.0,East Ballina,485000.0,17.0,1000000.0,78.0,2000000.0,165000.0,6.0,1.0,380.0
2012.0,6.0,East Ballina,500000.0,17.0,810000.0,73.0,2000000.0,167000.0,6.0,1.0,380.0
2012.0,9.0,East Ballina,420000.0,20.0,820000.0,78.0,2000000.0,169000.0,9.0,1.0,380.0
2012.0,12.0,East Ballina,455000.0,25.0,710000.0,91.0,2000000.0,165000.0,7.0,2.0,380.0
2013.0,3.0,East Ballina,540000.0,21.0,1600000.0,81.0,1650000.0,165000.0,6.0,1.0,395.0
2013.0,6.0,East Ballina,490000.0,23.0,900000.0,84.0,1650000.0,167000.0,8.0,3.0,420.0
2013.0,9.0,East Ballina,498000.0,18.0,1180000.0,71.0,1600000.0,168000.0,2.0,,385.0
2013.0,12.0,East Ballina,520000.0,31.0,1180000.0,74.0,1450000.0,159000.0,9.0,3.0,420.0
2014.0,3.0,East Ballina,493000.0,28.0,860000.0,68.0,1500000.0,168000.0,2.0,1.0,428.0
2014.0,6.0,East Ballina,485000.0,21.0,685000.0,62.0,1250000.0,149000.0,9.0,6.0,450.0
2014.0,9.0,East Ballina,540000.0,24.0,1200000.0,67.0,1350000.0,149000.0,9.0,3.0,440.0
2014.0,12.0,East Ballina,519000.0,33.0,1100000.0,65.0,1250000.0,155000.0,7.0,4.0,440.0
2015.0,3.0,East Ballina,478000.0,32.0,980000.0,57.0,1250000.0,139000.0,9.0,8.0,470.0
2015.0,6.0,East Ballina,530000.0,32.0,870000.0,65.0,1150000.0,139000.0,9.0,5.0,450.0
2015.0,9.0,East Ballina,526000.0,40.0,799000.0,62.0,1150000.0,135000.0,5.0,2.0,460.0
2015.0,12.0,East Ballina,610000.0,28.0,1825000.0,51.0,1250000.0,135000.0,9.0,6.0,500.0
2016.0,3.0,East Ballina,560000.0,25.0,1150000.0,56.0,1450000.0,189000.0,9.0,6.0,480.0
2016.0,6.0,East Ballina,533000.0,36.0,1200000.0,56.0,1550000.0,189000.0,8.0,5.0,470.0
2016.0,9.0,East Ballina,635000.0,31.0,1300000.0,52.0,1550000.0,160000.0,11.0,7.0,460.0
2016.0,12.0,East Ballina,625000.0,28.0,1400000.0,53.0,1449000.0,145000.0,8.0,5.0,510.0
2017.0,3.0,East Ballina,650000.0,33.0,1450000.0,48.0,1400000.0,69000.0,8.0,5.0,500.0
